BATTER,Dismissal,R,B,M,4s,6s,SR,URL,Match
Graeme Smith (c),c & b Astle,61,43,39,10,1,141.86,/cricketers/graeme-smith-47270,south-africa vs new-zealand
Jacques Kallis , b Patel,20,18,43,1,1,111.11,/cricketers/jacques-kallis-45789,south-africa vs new-zealand
Herschelle Gibbs ,lbw b Patel,9,7,10,1,0,128.57,/cricketers/herschelle-gibbs-45224,south-africa vs new-zealand
Justin Kemp ,c & b Astle,8,11,11,1,0,72.72,/cricketers/justin-kemp-45797,south-africa vs new-zealand
Mark Boucher †, b Astle,4,8,14,0,0,50,/cricketers/mark-boucher-44111,south-africa vs new-zealand
Shaun Pollock ,c Fleming b Adams,0,2,3,0,0,0,/cricketers/shaun-pollock-46774,south-africa vs new-zealand
Ashwell Prince ,run out (Patel),5,6,13,0,0,83.33,/cricketers/ashwell-prince-46788,south-africa vs new-zealand
Albie Morkel ,c †McCullum b Patel,11,12,16,0,1,91.66,/cricketers/albie-morkel-46248,south-africa vs new-zealand
Charl Langeveldt , b Bond,2,4,5,0,0,50,/cricketers/charl-langeveldt-45963,south-africa vs new-zealand
Stephen Fleming (c),c Morkel b Langeveldt,31,25,30,6,0,124,/cricketers/stephen-fleming-37000,south-africa vs new-zealand
Nathan Astle , b Nel,10,10,23,1,0,100,/cricketers/nathan-astle-36185,south-africa vs new-zealand
Hamish Marshall ,c †Boucher b Nel,3,3,4,0,0,100,/cricketers/hamish-marshall-37696,south-africa vs new-zealand
Craig McMillan ,c Nel b Boje,15,19,26,1,0,78.94,/cricketers/craig-mcmillan-37712,south-africa vs new-zealand
Scott Styris , b Langeveldt,24,28,39,2,0,85.71,/cricketers/scott-styris-38407,south-africa vs new-zealand
Marcus Trescothick ,c Hussey b Symonds,41,37,55,5,0,110.81,/cricketers/marcus-trescothick-21585,england vs australia
Geraint Jones †,c Kasprowicz b McGrath,19,14,17,4,0,135.71,/cricketers/geraint-jones-15501,england vs australia
Andrew Flintoff ,c Symonds b Kasprowicz,6,5,9,0,0,120,/cricketers/andrew-flintoff-12856,england vs australia
Kevin Pietersen ,c Hayden b Clarke,34,18,19,3,1,188.88,/cricketers/kevin-pietersen-19296,england vs australia
Michael Vaughan (c),c Ponting b Symonds,0,1,2,0,0,0,/cricketers/michael-vaughan-22182,england vs australia
Paul Collingwood ,c Ponting b McGrath,46,26,28,5,2,176.92,/cricketers/paul-collingwood-10772,england vs australia
Andrew Strauss , b Gillespie,18,16,15,1,0,112.5,/cricketers/andrew-strauss-20387,england vs australia
Adam Gilchrist †,c Pietersen b Gough,15,14,11,3,0,107.14,/cricketers/adam-gilchrist-5390,england vs australia
Matthew Hayden ,c Pietersen b Gough,6,4,12,1,0,150,/cricketers/matthew-hayden-5616,england vs australia
Andrew Symonds ,c Pietersen b Lewis,0,2,5,0,0,0,/cricketers/andrew-symonds-7702,england vs australia
Michael Clarke ,c †Jones b Lewis,0,1,1,0,0,0,/cricketers/michael-clarke-4578,england vs australia
Michael Hussey ,c Flintoff b Gough,1,6,6,0,0,16.66,/cricketers/michael-hussey-5939,england vs australia
Ricky Ponting (c),c Solanki b Lewis,0,3,6,0,0,0,/cricketers/ricky-ponting-7133,england vs australia
Damien Martyn ,c Trescothick b Lewis,4,4,6,1,0,100,/cricketers/damien-martyn-6513,england vs australia
Brett Lee ,c Harmison b Collingwood,15,20,29,1,0,75,/cricketers/brett-lee-6278,england vs australia
Jason Gillespie ,c Trescothick b Collingwood,24,18,18,4,0,133.33,/cricketers/jason-gillespie-5392,england vs australia
Adam Gilchrist †,c McMillan b Mills,1,3,7,0,0,33.33,/cricketers/adam-gilchrist-5390,new-zealand vs australia
Michael Clarke ,c McMillan b Tuffey,7,4,4,0,1,175,/cricketers/michael-clarke-4578,new-zealand vs australia
Andrew Symonds ,c †McCullum b Mills,32,13,12,4,2,246.15,/cricketers/andrew-symonds-7702,new-zealand vs australia
Ricky Ponting (c),not out ,98,55,62,8,5,178.18,/cricketers/ricky-ponting-7133,new-zealand vs australia
Damien Martyn , b Mills,3,5,4,0,0,60,/cricketers/damien-martyn-6513,new-zealand vs australia
Brendon McCullum †,c Ponting b Kasprowicz,36,24,29,5,1,150,/cricketers/brendon-mccullum-37737,new-zealand vs australia
Stephen Fleming (c), b Kasprowicz,18,13,19,3,0,138.46,/cricketers/stephen-fleming-37000,new-zealand vs australia
Mathew Sinclair ,c Katich b Kasprowicz,0,1,1,0,0,0,/cricketers/mathew-sinclair-38393,new-zealand vs australia
Scott Styris , b Lee,66,39,46,5,3,169.23,/cricketers/scott-styris-38407,new-zealand vs australia
Craig McMillan ,c Hussey b Hopes,9,8,10,0,1,112.5,/cricketers/craig-mcmillan-37712,new-zealand vs australia
Chris Cairns ,c McGrath b Kasprowicz,1,4,2,0,0,25,/cricketers/chris-cairns-36597,new-zealand vs australia
Hamish Marshall , b Symonds,8,7,5,0,0,114.28,/cricketers/hamish-marshall-37696,new-zealand vs australia
Andre Adams ,run out (McGrath),7,7,4,1,0,100,/cricketers/andre-adams-36192,new-zealand vs australia
Jeff Wilson , b McGrath,18,14,12,2,0,128.57,/cricketers/jeff-wilson-38751,new-zealand vs australia
Upul Tharanga , b Franklin,0,3,1,0,0,0,/cricketers/upul-tharanga-50747,new-zealand vs sri-lanka
Chamara Kapugedera ,c Franklin b Mason,12,12,18,1,1,100,/cricketers/chamara-kapugedera-209457,new-zealand vs sri-lanka
Mahela Jayawardene (c),c Patel b Franklin,9,7,13,1,0,128.57,/cricketers/mahela-jayawardene-49289,new-zealand vs sri-lanka
Kumar Sangakkara †,c †McGlashan b Adams,13,17,23,2,0,76.47,/cricketers/kumar-sangakkara-50710,new-zealand vs sri-lanka
Marvan Atapattu ,c Fulton b Franklin,5,8,11,0,0,62.5,/cricketers/marvan-atapattu-48124,new-zealand vs sri-lanka
Tillakaratne Dilshan ,run out (Fulton/†McGlashan),3,10,15,0,0,30,/cricketers/tillakaratne-dilshan-48472,new-zealand vs sri-lanka
Chamara Silva ,c †McGlashan b Adams,12,19,23,0,0,63.15,/cricketers/chamara-silva-50431,new-zealand vs sri-lanka
Malinga Bandara ,c Taylor b Gillespie,1,2,4,0,0,50,/cricketers/malinga-bandara-48284,new-zealand vs sri-lanka
Lasith Malinga , b Patel,27,19,25,2,2,142.1,/cricketers/lasith-malinga-49758,new-zealand vs sri-lanka
