BOWLER,O,M,R,W,Econ,WD,NB,URL,Match
Shane Bond,3.3,0,25,2,7.14,0,0,/cricketers/shane-bond-36326,south-africa vs new-zealand
Kyle Mills,4,0,38,0,9.5,1,1,/cricketers/kyle-mills-37740,south-africa vs new-zealand
Andre Adams,4,0,27,1,6.75,0,0,/cricketers/andre-adams-36192,south-africa vs new-zealand
Nathan Astle,4,0,20,3,5,0,0,/cricketers/nathan-astle-36185,south-africa vs new-zealand
Jeetan Patel,4,0,20,3,5,0,1,/cricketers/jeetan-patel-38141,south-africa vs new-zealand
Shaun Pollock,3,0,16,0,5.33,1,0,/cricketers/shaun-pollock-46774,south-africa vs new-zealand
Makhaya Ntini,2,0,21,0,10.5,0,0,/cricketers/makhaya-ntini-46592,south-africa vs new-zealand
Andre Nel,4,0,19,2,4.75,0,0,/cricketers/andre-nel-46569,south-africa vs new-zealand
Charl Langeveldt,2,0,14,2,7,2,0,/cricketers/charl-langeveldt-45963,south-africa vs new-zealand
Nicky Boje,4,0,27,1,6.75,0,0,/cricketers/nicky-boje-44091,south-africa vs new-zealand
Albie Morkel,2,0,13,0,6.5,0,0,/cricketers/albie-morkel-46248,south-africa vs new-zealand
Graeme Smith,1,0,20,0,20,0,2,/cricketers/graeme-smith-47270,south-africa vs new-zealand
Brett Lee,3,0,31,0,10.33,1,2,/cricketers/brett-lee-6278,england vs australia
Glenn McGrath,4,0,31,3,7.75,1,0,/cricketers/glenn-mcgrath-6565,england vs australia
Michael Kasprowicz,3,0,28,1,9.33,0,0,/cricketers/michael-kasprowicz-6126,england vs australia
Jason Gillespie,4,0,49,1,12.25,1,0,/cricketers/jason-gillespie-5392,england vs australia
Michael Clarke,3,0,25,1,8.33,0,0,/cricketers/michael-clarke-4578,england vs australia
Andrew Symonds,3,0,14,2,4.66,0,0,/cricketers/andrew-symonds-7702,england vs australia
Darren Gough,3,0,16,3,5.33,0,1,/cricketers/darren-gough-13411,england vs australia
Jon Lewis,4,0,24,4,6,0,0,/cricketers/jon-lewis-16281,england vs australia
Steve Harmison,2.3,0,13,1,5.2,0,1,/cricketers/steve-harmison-14054,england vs australia
Andrew Flintoff,3,0,15,0,5,1,0,/cricketers/andrew-flintoff-12856,england vs australia
